,radius_mean,texture_mean
0,17.99,10.38
1,20.57,17.77
2,19.69,21.25
3,11.42,20.38
4,20.29,14.34
5,12.45,15.7
6,18.25,19.98
7,13.71,20.83
8,13.0,21.82
9,12.46,24.04
10,16.02,23.24
11,15.78,17.89
12,19.17,24.8
13,15.85,23.95
14,13.73,22.61
15,14.54,27.54
16,14.68,20.13
17,16.13,20.68
18,19.81,22.15
19,13.54,14.36
20,13.08,15.71
21,9.504,12.44
22,15.34,14.26
23,21.16,23.04
24,16.65,21.38
25,17.14,16.4
26,14.58,21.53
27,18.61,20.25
28,15.3,25.27
29,17.57,15.05
30,18.63,25.11
31,11.84,18.7
32,17.02,23.98
33,19.27,26.47
34,16.13,17.88
35,16.74,21.59
36,14.25,21.72
37,13.03,18.42
38,14.99,25.2
39,13.48,20.82
40,13.44,21.58
41,10.95,21.35
42,19.07,24.81
43,13.28,20.28
44,13.17,21.81
45,18.65,17.6
46,8.196,16.84
47,13.17,18.66
48,12.05,14.63
49,13.49,22.3
50,11.76,21.6
51,13.64,16.34
52,11.94,18.24
53,18.22,18.7
54,15.1,22.02
55,11.52,18.75
56,19.21,18.57
57,14.71,21.59
58,13.05,19.31
59,8.618,11.79
60,10.17,14.88
61,8.598,20.98
62,14.25,22.15
63,9.173,13.86
64,12.68,23.84
65,14.78,23.94
66,9.465,21.01
67,11.31,19.04
68,9.029,17.33
69,12.78,16.49
70,18.94,21.31
71,8.888,14.64
72,17.2,24.52
73,13.8,15.79
74,12.31,16.52
75,16.07,19.65
76,13.53,10.94
77,18.05,16.15
78,20.18,23.97
79,12.86,18.0
80,11.45,20.97
81,13.34,15.86
82,25.22,24.91
83,19.1,26.29
84,12.0,15.65
85,18.46,18.52
86,14.48,21.46
87,19.02,24.59
88,12.36,21.8
89,14.64,15.24
90,14.62,24.02
91,15.37,22.76
92,13.27,14.76
93,13.45,18.3
94,15.06,19.83
95,20.26,23.03
96,12.18,17.84
97,9.787,19.94
98,11.6,12.84
99,14.42,19.77
100,13.61,24.98
101,6.981,13.43
102,12.18,20.52
103,9.876,19.4
104,10.49,19.29
105,13.11,15.56
106,11.64,18.33
107,12.36,18.54
108,22.27,19.67
109,11.34,21.26
110,9.777,16.99
111,12.63,20.76
112,14.26,19.65
113,10.51,20.19
114,8.726,15.83
115,11.93,21.53
116,8.95,15.76
117,14.87,16.67
118,15.78,22.91
119,17.95,20.01
120,11.41,10.82
121,18.66,17.12
122,24.25,20.2
123,14.5,10.89
124,13.37,16.39
125,13.85,17.21
126,13.61,24.69
127,19.0,18.91
128,15.1,16.39
129,19.79,25.12
130,12.19,13.29
131,15.46,19.48
132,16.16,21.54
133,15.71,13.93
134,18.45,21.91
135,12.77,22.47
136,11.71,16.67
137,11.43,15.39
138,14.95,17.57
139,11.28,13.39
140,9.738,11.97
141,16.11,18.05
142,11.43,17.31
143,12.9,15.92
144,10.75,14.97
145,11.9,14.65
146,11.8,16.58
147,14.95,18.77
148,14.44,15.18
149,13.74,17.91
150,13.0,20.78
151,8.219,20.7
152,9.731,15.34
153,11.15,13.08
154,13.15,15.34
155,12.25,17.94
156,17.68,20.74
157,16.84,19.46
158,12.06,12.74
159,10.9,12.96
160,11.75,20.18
161,19.19,15.94
162,19.59,18.15
163,12.34,22.22
164,23.27,22.04
165,14.97,19.76
166,10.8,9.71
167,16.78,18.8
168,17.47,24.68
169,14.97,16.95
170,12.32,12.39
171,13.43,19.63
172,15.46,11.89
173,11.08,14.71
174,10.66,15.15
175,8.671,14.45
176,9.904,18.06
177,16.46,20.11
178,13.01,22.22
179,12.81,13.06
180,27.22,21.87
181,21.09,26.57
182,15.7,20.31
183,11.41,14.92
184,15.28,22.41
185,10.08,15.11
186,18.31,18.58
187,11.71,17.19
188,11.81,17.39
189,12.3,15.9
190,14.22,23.12
191,12.77,21.41
192,9.72,18.22
193,12.34,26.86
194,14.86,23.21
195,12.91,16.33
196,13.77,22.29
197,18.08,21.84
198,19.18,22.49
199,14.45,20.22
200,12.23,19.56
